"","Journal.Full.Name","Level.of.Evidence","Citations"
"1","British Medical Journal","I",19428
"2","British Medical Journal","V",29920
"3","Journal of The American Medical Association","I",4256
"4","Journal of The American Medical Association","II",42245
"5","Journal of The American Medical Association","III",8430
"6","Journal of The American Medical Association","IV",10342
"7","Journal of The American Medical Association","V",37119
"8","Lancet","I",13960
"9","Lancet","II",82961
"10","Lancet","III",4325
"11","Lancet","IV",5706
"12","Lancet","V",30461
"13","New England Journal of Medicine","II",180036
"14","New England Journal of Medicine","III",15747
"15","New England Journal of Medicine","IV",34855
"16","New England Journal of Medicine","V",93592
"17","Plos Medicine ","III",4494
